ID;Population;Name;Latitude;Longitude
9812;6656;Stockholm;59.28064473;18.13319914
9823;6778;Stockholm;59.33611789;18.06795126
9828;6847;Stockholm;59.27696244;17.90459983
9831;6907;Stockholm;59.30228321;17.97704364
9835;6982;Stockholm;59.30066018;18.04718448
9840;7207;Stockholm;59.27167789;18.13237481
9844;7302;Stockholm;59.3584603;17.87636575
9850;7455;Stockholm;59.38419167;17.93138574
9852;7491;Stockholm;59.29411219;17.94119555
9854;7532;Stockholm;59.28474655;17.957949
9861;7795;Stockholm;59.40212834;17.93293609
9866;8029;Stockholm;59.30147641;18.01211504
9868;8112;Stockholm;59.3935542;17.91457662
9869;8153;Stockholm;59.39316002;17.93216067
9873;8412;Stockholm;59.2933151;17.97625969
9878;8542;Stockholm;59.3580714;17.89393225
9881;8589;Stockholm;59.3658588;17.947407
9883;8628;Stockholm;59.28354075;18.01052923
9884;8685;Stockholm;59.2456153;18.09489556
9888;9008;Stockholm;59.27735245;17.88707529
9889;9009;Stockholm;59.41149112;17.91611867
9890;9019;Stockholm;59.41109665;17.93371199
9891;9048;Stockholm;59.33734752;18.01529257
9899;10021;Stockholm;59.31003714;18.03044825
9900;10119;Stockholm;59.39394601;17.89699209
9903;10386;Stockholm;59.36820009;17.84198173
9904;10408;Stockholm;59.29045106;18.09896874
9906;10632;Stockholm;59.30188099;17.99457959
9909;11131;Stockholm;59.30838522;18.10060155
9912;11652;Stockholm;59.26478993;18.04397804
9914;11895;Stockholm;59.29941815;18.09978489
9915;12119;Stockholm;59.34425332;18.10387323
9917;12672;Stockholm;59.33653012;18.05039886
9919;13090;Stockholm;59.31776894;18.08387653
9920;13178;Stockholm;59.31900478;18.03124699
9922;13555;Stockholm;59.31859519;18.04879067
9924;14042;Stockholm;59.34467043;18.08631722
9927;14642;Stockholm;59.34508518;18.06876071
9930;17025;Stockholm;59.34590758;18.03364619
9931;17209;Stockholm;59.3092159;18.0655259
9932;17997;Stockholm;59.31818325;18.06633385
9933;19304;Stockholm;59.33570329;18.08550316
9934;21070;Stockholm;59.30880174;18.08306398
9935;24069;Stockholm;59.33694;18.03284596
9936;24658;Stockholm;59.34549756;18.0512037
